League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,3P_pct,FT_pct,FG_pct
NBA,2016 - 2017,Playoffs,Paul George,IND,4,171.6,34,88,18,42,26,30,5,30,35,29,7,2,112,13,13,0.6526806526806527,0.20396270396270397,0.168997668997669,0.04079254079254079,0.011655011655011656,0.07575757575757576,0.42857142857142855,0.8666666666666667,0.38636363636363635
NBA,2016 - 2017,Playoffs,Jonas Valanciunas,TOR,10,225.9,44,81,0,1,24,33,9,58,67,2,2,6,112,13,22,0.4957945993802567,0.2965914121292607,0.008853474988933156,0.008853474988933156,0.02656042496679947,0.05754758742806551,0.0,0.7272727272727273,0.5432098765432098
NBA,2016 - 2017,Playoffs,Damian Lillard,POR,4,150.6,39,90,9,32,24,25,4,13,17,13,5,2,111,13,11,0.7370517928286853,0.11288180610889775,0.08632138114209828,0.033200531208499334,0.013280212483399735,0.08632138114209828,0.28125,0.96,0.43333333333333335
NBA,2016 - 2017,Playoffs,Ian Clark,GSW,16,219.5,40,79,13,36,16,17,4,22,26,11,6,0,109,11,17,0.49658314350797267,0.11845102505694761,0.05011389521640091,0.02733485193621868,0.0,0.05011389521640091,0.3611111111111111,0.9411764705882353,0.5063291139240507
NBA,2016 - 2017,Playoffs,DeAndre Jordan,LAC,7,264.3,43,61,0,1,22,56,25,76,101,5,3,6,108,17,29,0.4086265607264472,0.38214150586454787,0.018917896329928113,0.011350737797956867,0.022701475595913734,0.06432084752175558,0.0,0.39285714285714285,0.7049180327868853
NBA,2016 - 2017,Playoffs,Manu Ginobili,SAS,16,284.2,40,97,9,40,17,23,10,29,39,39,16,2,106,12,28,0.3729767769176636,0.13722730471498945,0.13722730471498945,0.056298381421534135,0.007037297677691767,0.0422237860661506,0.225,0.7391304347826086,0.41237113402061853
NBA,2016 - 2017,Playoffs,Marcin Gortat,WAS,13,408.6,47,93,0,0,11,18,52,91,143,24,5,20,105,17,40,0.25697503671071953,0.3499755261869799,0.05873715124816446,0.012236906510034262,0.04894762604013705,0.041605482134116495,0.0,0.6111111111111112,0.5053763440860215
NBA,2016 - 2017,Playoffs,Kyle Korver,CLE,18,326.2,34,80,27,69,10,10,2,28,30,13,7,5,105,7,22,0.3218884120171674,0.09196811771919068,0.039852851011649294,0.02145922746781116,0.015328019619865114,0.02145922746781116,0.391304347826087,1.0,0.425
NBA,2016 - 2017,Playoffs,Norman Powell,TOR,9,227.2,35,82,15,34,20,24,5,23,28,14,10,3,105,15,25,0.4621478873239437,0.12323943661971831,0.061619718309859156,0.04401408450704226,0.013204225352112678,0.06602112676056339,0.4411764705882353,0.8333333333333334,0.4268292682926829
NBA,2016 - 2017,Playoffs,Rudy Gobert,UTA,9,246.1,40,63,0,0,24,50,22,67,89,11,9,12,104,9,30,0.42259244209670865,0.36164160910199106,0.04469727752945957,0.03657049979683056,0.048760666395774074,0.03657049979683056,0.0,0.48,0.6349206349206349
NBA,2016 - 2017,Playoffs,Ryan Anderson,HOU,11,335.7,36,92,17,60,14,16,15,42,57,7,4,2,103,9,24,0.3068215668751862,0.16979445933869527,0.020851951146857315,0.011915400655347037,0.005957700327673518,0.02680965147453083,0.2833333333333333,0.875,0.391304347826087
NBA,2016 - 2017,Playoffs,Rodney Hood,UTA,11,277.0,37,105,13,50,11,18,1,29,30,12,5,0,98,10,30,0.35379061371841153,0.10830324909747292,0.04332129963898917,0.018050541516245487,0.0,0.036101083032490974,0.26,0.6111111111111112,0.3523809523809524
NBA,2016 - 2017,Playoffs,Gerald Green,BOS,13,192.4,34,72,21,45,8,9,2,18,20,9,3,1,97,7,21,0.5041580041580042,0.10395010395010394,0.04677754677754677,0.015592515592515592,0.005197505197505197,0.036382536382536385,0.4666666666666667,0.8888888888888888,0.4722222222222222
NBA,2016 - 2017,Playoffs,Terry Rozier,BOS,17,277.2,33,82,14,38,16,20,12,32,44,32,11,4,96,10,20,0.34632034632034636,0.15873015873015875,0.11544011544011544,0.03968253968253969,0.01443001443001443,0.03607503607503608,0.3684210526315789,0.8,0.4024390243902439
NBA,2016 - 2017,Playoffs,JaVale McGee,GSW,16,148.5,41,56,0,0,13,18,22,26,48,4,2,15,95,8,31,0.6397306397306397,0.32323232323232326,0.026936026936026935,0.013468013468013467,0.10101010101010101,0.05387205387205387,0.0,0.7222222222222222,0.7321428571428571
NBA,2016 - 2017,Playoffs,Maybyner Nene,HOU,9,161.2,36,51,0,1,18,31,11,31,42,5,6,4,90,9,24,0.5583126550868487,0.26054590570719605,0.031017369727047148,0.03722084367245658,0.02481389578163772,0.05583126550868487,0.0,0.5806451612903226,0.7058823529411765
NBA,2016 - 2017,Playoffs,Dwyane Wade,CHI,6,190.1,32,86,6,17,20,21,6,24,30,24,5,8,90,10,8,0.47343503419253025,0.15781167806417676,0.1262493424513414,0.026301946344029457,0.04208311415044713,0.052603892688058915,0.35294117647058826,0.9523809523809523,0.37209302325581395
